Time [s],Burn Time [s],distance surface,AirDensity [kg/m3],AirPressure [kPa],AirTemprature [K],SpeedOfSound [m/s],Propellant Mass [kg],Mass [kg],Thrust [N],Fx-aero [N],Fy-aero [N],Fz-aero [N],Fx-thrust [N],Fy-thrust [N],Fz-thrust [N],Fx-gravity [N],Fy-gravity [N],Fz-gravity [N],Accx-body [m/s2],Accy-body [m/s2],Accz-body [m/s2],Gccx-body [G],Gccy-body [G],Gccz-body [G],Accx-ECI [m/s2],Accy-ECI [m/s2],Accz-ECI [m/s2],Vx-body [m/s],Vy-body [m/s],Vz-body [m/s],MachNumber [-],DynamicPressure [kPa],Vx-NED [m/s],Vy-NED [m/s],Vz-NED [m/s],Vx-ECEF [m/s],Vy-ECEF [m/s],Vz-ECEF [m/s],Vx-ECI [m/s],Vy-ECI [m/s],Vz-ECI [m/s],X-ECEF [km],Y-ECEF [km],Z-ECEF [km],X-ECI [km],Y-ECI [km],Z-ECI [km],Latitude [deg],Longitude [deg],Altitude [m],Azimuth [deg],Elvation [deg],Roll [deg],Time [s],Time of IIP [s],Latitude of IIP [deg],Longitude of IIP [deg],
160.5000,160.5500,322,0.000465,0.034153,256.126142,320.827756,-3.94200591,2396.05799409,21998.92706381,-46.64307655,1.42303927,-129.09112573,21998.92706381,0.00000000,-0.00000000,-23015.47152559,0.00000000,2013.59284419,-0.44299481,0.00059293,0.78520905,-0.04521145,0.00006051,0.08013737,0.62457318,-0.57029980,-0.31219302,662.18787756,-0.81308862,73.60884967,2.07671245,0.10310384,-0.81308862,-131.04222208,-653.25261880,257.12776171,466.65086843,400.04248551,-108.47836787,559.06023178,400.04248551,1284.1408886514,4923.8616292759,3925.6326620998,1226.4081370248,4938.5579117391,3925.6326620998,37.83347705,75.38288214,56688.15352839,-90.00000000,85.00000000,0.00000000,160.5500,141.7914,37.64991744,75.97291661,
161.1000,161.5500,322,0.000429,0.031343,254.330097,319.700899,-11.10931229,2388.89068771,21999.01533864,-43.06514537,1.32466196,-120.62730523,21999.01533864,0.00000000,-0.00000000,-23010.80103944,0.00000000,2013.18422960,-0.43952119,0.00055194,0.78856539,-0.04485693,0.00005633,0.08047991,0.62874784,-0.56869641,-0.31028227,661.76090773,-0.81935502,74.45669685,2.08299981,0.09519487,-0.81935502,-131.84963007,-652.75337897,257.82255397,466.06268504,399.73125263,-107.85168804,558.49073554,399.73125263,1284.3983634703,4924.3279859351,3926.0325488096,1226.2999716490,4939.1166870892,3926.0325488096,37.83346976,75.38140217,57341.15626860,-90.00000000,85.00000000,0.00000000,161.5500,142.0261,37.64992226,75.97432325,
161.7000,162.5500,322,0.000397,0.028749,252.535786,318.571151,-18.27664632,2381.72335368,21999.09682462,-39.74309248,1.23241960,-112.65510915,21999.09682462,0.00000000,-0.00000000,-23006.13553289,0.00000000,2012.77605067,-0.43615908,0.00051351,0.79171706,-0.04451380,0.00005241,0.08080157,0.63269684,-0.56711427,-0.30842669,661.33728606,-0.82561536,75.30767534,2.08936590,0.08785152,-0.82561536,-132.66044927,-652.25720164,258.52129921,465.47590177,399.42190258,-107.22094740,557.92283187,399.42190258,1284.6565350768,4924.7937551127,3926.4321252326,1226.1924350022,4939.6748937411,3926.4321252326,37.83346242,75.37991325,57993.66130801,-90.00000000,85.00000000,0.00000000,162.5500,142.2592,37.64992703,75.97570568,
162.3000,162.5500,322,0.000397,0.028749,252.535786,318.571151,-18.27664632,2381.72335368,21999.09682462,-39.74309248,1.23241960,-112.65510915,21999.09682462,0.00000000,-0.00000000,-23006.13553289,0.00000000,2012.77605067,-0.43615908,0.00051351,0.79171706,-0.04451380,0.00005241,0.08080157,0.63269684,-0.56711427,-0.30842669,661.33728606,-0.82561536,75.30767534,2.08936590,0.08785152,-0.82561536,-132.66044927,-652.25720164,258.52129921,465.47590177,399.42190258,-107.22094740,557.92283187,399.42190258,1284.6565350768,4924.7937551127,3926.4321252326,1226.1924350022,4939.6748937411,3926.4321252326,37.83346242,75.37991325,57993.66130801,-90.00000000,85.00000000,0.00000000,162.5500,142.2592,37.64992703,75.97570568,
162.9000,163.5500,322,0.000366,0.026356,250.743199,317.438473,-25.44400586,2374.55599414,21999.17200778,-36.65990258,1.14597088,-105.14985445,21999.17200778,0.00000000,-0.00000000,-23001.47498057,0.00000000,2012.36830517,-0.43290120,0.00047749,0.79467435,-0.04418131,0.00004873,0.08110338,0.63643196,-0.56555107,-0.30662250,660.91690468,-0.83186712,76.16158576,2.09581162,0.08103618,-0.83186712,-133.47447166,-651.76399675,259.22377792,464.89050000,399.11438211,-106.58636566,557.35650069,399.11438211,1284.9154073131,4925.2589381991,3926.8313932246,1226.0855310344,4940.2325332771,3926.8313932246,37.83345502,75.37841533,58645.67166355,-90.00000000,85.00000000,0.00000000,163.5500,142.4908,37.64993176,75.97706427,
163.5000,163.5500,322,0.000366,0.026356,250.743199,317.438473,-25.44400586,2374.55599414,21999.17200778,-36.65990258,1.14597088,-105.14985445,21999.17200778,0.00000000,-0.00000000,-23001.47498057,0.00000000,2012.36830517,-0.43290120,0.00047749,0.79467435,-0.04418131,0.00004873,0.08110338,0.63643196,-0.56555107,-0.30662250,660.91690468,-0.83186712,76.16158576,2.09581162,0.08103618,-0.83186712,-133.47447166,-651.76399675,259.22377792,464.89050000,399.11438211,-106.58636566,557.35650069,399.11438211,1284.9154073131,4925.2589381991,3926.8313932246,1226.0855310344,4940.2325332771,3926.8313932246,37.83345502,75.37841533,58645.67166355,-90.00000000,85.00000000,0.00000000,163.5500,142.4908,37.64993176,75.97706427,
164.1000,164.5500,322,0.000338,0.024149,248.952329,316.302829,-32.61138893,2367.38861107,21999.24134197,-33.79960761,1.06499149,-98.08790149,21999.24134197,0.00000000,-0.00000000,-22996.81935774,0.00000000,2011.96099096,-0.42974068,0.00044375,0.79744712,-0.04385875,0.00004529,0.08138637,0.63996446,-0.56400468,-0.30486614,660.49966282,-0.83810793,77.01823880,2.10233790,0.07471354,-0.83810793,-134.29149984,-651.27368039,259.92978213,464.30646328,398.80864164,-105.94815101,556.79172414,398.80864164,1285.1749838077,4925.7235365677,3927.2303545901,1225.9792634817,4940.7896072606,3927.2303545901,37.83344757,75.37690838,59297.19026522,-90.00000000,85.00000000,0.00000000,164.5500,142.7208,37.64993645,75.97839941,
164.7000,165.5500,322,0.000312,0.022115,247.163166,315.164182,-39.77879369,2360.22120631,21999.30525045,-31.14724501,0.98917378,-91.44666551,21999.30525045,0.00000000,-0.00000000,-22992.16864027,0.00000000,2011.55410590,-0.42667110,0.00041216,0.80004477,-0.04354547,0.00004206,0.08165148,0.64330508,-0.56247318,-0.30315429,660.08546635,-0.84433557,77.87745475,2.10894571,0.06885053,-0.84433557,-135.11134662,-650.78617446,260.63911485,463.72377710,398.50463500,-105.30650068,556.22848637,398.50463500,1285.4352679868,4926.1875515759,3927.6290110858,1225.8736358775,4941.3461172383,3927.6290110858,37.83344006,75.37539237,59948.21996202,-90.00000000,85.00000000,0.00000000,165.5500,142.9494,37.64994109,75.97971145,
165.3000,165.5500,322,0.000312,0.022115,247.163166,315.164182,-39.77879369,2360.22120631,21999.30525045,-31.14724501,0.98917378,-91.44666551,21999.30525045,0.00000000,-0.00000000,-22992.16864027,0.00000000,2011.55410590,-0.42667110,0.00041216,0.80004477,-0.04354547,0.00004206,0.08165148,0.64330508,-0.56247318,-0.30315429,660.08546635,-0.84433557,77.87745475,2.10894571,0.06885053,-0.84433557,-135.11134662,-650.78617446,260.63911485,463.72377710,398.50463500,-105.30650068,556.22848637,398.50463500,1285.4352679868,4926.1875515759,3927.6290110858,1225.8736358775,4941.3461172383,3927.6290110858,37.83344006,75.37539237,59948.21996202,-90.00000000,85.00000000,0.00000000,165.5500,142.9494,37.64994109,75.97971145,
165.9000,166.5500,322,0.000287,0.020240,245.375702,314.022493,-46.94621844,2353.05378156,21999.36412837,-28.68877136,0.91822508,-85.20449257,21999.36412837,0.00000000,-0.00000000,-22987.52280462,0.00000000,2011.14764795,-0.42368644,0.00038259,0.80247631,-0.04324086,0.00003905,0.08189964,0.64646405,-0.56095481,-0.30148385,659.67422739,-0.85054794,78.73906318,2.11563610,0.06341611,-0.85054794,-135.93383453,-650.30140626,261.35158963,463.14242876,398.20231925,-104.66160139,555.66677340,398.20231925,1285.6962630847,4926.6509845678,3928.0273644237,1225.7686515633,4941.9020647416,3928.0273644237,37.83343249,75.37386728,60598.76352761,-90.00000000,85.00000000,0.00000000,166.5500,143.1764,37.64994570,75.98100074,
